code,date,ref_price,diff_price,diff_price_rat,close_price,vol,open_price,highest_price,lowest_price,transaction,foreign_buy,foreign_sell
fox,2021-10-14,82.0,0.0,0.0,82.0,7400.0,82.0,82.0,81.5,0.0,0.0,0.0
fox,2021-10-15,81.8,0.0,0.0,81.8,8300.0,81.7,82.0,81.6,0.0,0.0,0.0
fox,2021-10-18,81.7,-0.4,-0.49,81.3,41000.0,81.8,81.9,80.0,0.0,0.0,3000.0
fox,2021-10-19,81.2,-0.3,-0.37,80.9,8000.0,81.2,81.2,80.2,0.0,0.0,3000.0
fox,2021-10-20,80.7,-0.7,-0.87,80.0,33800.0,80.5,80.8,79.2,0.0,0.0,0.0
fox,2021-10-21,79.9,1.4,1.75,81.3,26700.0,79.9,81.6,79.9,0.0,0.0,16000.0
fox,2021-10-22,81.1,0.0,0.0,81.1,8200.0,81.3,81.3,80.1,0.0,0.0,16000.0
fox,2021-10-25,81.0,-1.0,-1.23,80.0,14300.0,81.0,81.0,79.8,0.0,0.0,0.0
fox,2021-10-26,80.1,-0.6,-0.75,79.5,18600.0,80.0,80.0,79.0,0.0,0.0,0.0
fox,2021-10-27,79.8,0.2,0.25,80.0,13200.0,79.0,80.5,79.0,0.0,0.0,0.0
fox,2021-10-28,80.0,-0.1,-0.13,79.9,9540.0,80.0,80.3,79.5,0.0,0.0,0.0
fox,2021-10-29,79.8,-0.3,-0.38,79.5,32640.0,80.0,80.1,79.5,0.0,0.0,3000.0
fox,2021-11-01,79.7,-0.3,-0.38,79.4,20179.0,79.7,79.8,79.1,0.0,0.0,3000.0
fox,2021-11-02,79.5,0.0,0.0,79.5,33521.0,79.5,79.8,78.9,0.0,0.0,1800.0
fox,2021-11-03,79.2,0.3,0.38,79.5,24329.0,79.5,79.8,79.2,0.0,0.0,5700.0
fox,2021-11-04,79.5,0.2,0.25,79.7,31798.0,79.5,82.6,79.5,0.0,0.0,3096.0
fox,2021-11-05,80.1,0.9,1.12,81.0,29368.0,81.5,82.9,80.0,0.0,0.0,0.0
fox,2021-11-08,80.6,0.3,0.37,80.9,12666.0,80.0,82.0,79.5,0.0,0.0,0.0
fox,2021-11-09,80.4,-0.7,-0.87,79.7,21112.0,80.0,80.4,79.7,0.0,0.0,0.0
fox,2021-11-10,80.2,-0.4,-0.5,79.8,6500.0,80.2,80.2,79.7,0.0,0.0,0.0
fox,2021-11-11,79.9,-0.6,-0.75,79.3,8900.0,79.9,80.0,79.2,0.0,0.0,0.0
fox,2021-11-12,79.6,-0.2,-0.25,79.4,9200.0,79.4,79.8,79.2,0.0,0.0,0.0
